"","Raw.genus","Raw.species"
"6784","Camponotus","Camponotus lamosy"
"6785","Tetramorium","Tetramorium malagasy"
"6786","Pheidole","Pheidole tapanti"
"6787","Monomorium","Monomorium monomorium"
"6788","Monomorium","Monomorium bevisi"
"6789","Formica","Formica archboldi"
"6790","Aphaenogaster","Aphaenogaster barbigula"
"6791","Sericomyrmex","Sericomyrmex parvulus"
"6792","Formicoxenus","Formicoxenus diversipilosus"
"6793","Aenictus","Aenictus philiporum"
"6794","Polyrhachis","Polyrhachis cyrtomyrmoides"
"6795","Myrmica","Myrmica aimonissabaudiae"
"6796","Lophomyrmex","Lophomyrmex bedoti"
"6797","Strumigenys","Strumigenys micretes"
"6798","Pheidole","Pheidole neolongiceps"
"6799","Pheidole","Pheidole cairnsiana"
"6800","Pheidole","Pheidole williamsi"
"6801","Simopone","Simopone annettae"
"6802","Paratrechina","Paratrechina goeldii"
"6803","Platythyrea","Platythyrea parallela"
"6804","Gnamptogenys","Gnamptogenys coxalis"
"6805","Gnamptogenys","Gnamptogenys simulans"
"6806","Gnamptogenys","Gnamptogenys semiferox"
"6807","Hypoponera","Hypoponera reichenspergeri"
"6808","Pseudomyrmex","Pseudomyrmex faber"
"6809","Camponotus","Camponotus limbiventris"
"6810","Lasius","Lasius productus"
"6811","Lasius","Lasius nearcticus"
"6812","Pheidole","Pheidole dimidiata"
"6813","Pheidole","Pheidole sculpturata"
"6814","Pogonomyrmex","Pogonomyrmex vermiculatus"
"6815","Technomyrmex","Technomyrmex mayri"
"6816","Messor","Messor rugosus"
"6817","Iridomyrmex","Iridomyrmex anceps"
"6818","Dendromyrmex","Dendromyrmex chartifex"
"6819","Tapinoma","Tapinoma minutum"
"6820","Myrmicaria","Myrmicaria brunnea"
"6821","Strumigenys","Strumigenys dicomas"
"6822","Dolichoderus","Dolichoderus thoracicus"
"6823","Pheidole","Pheidole anima"
"6824","Lachnomyrmex","Lachnomyrmex regularis"
"6825","Calyptomyrmex","Calyptomyrmex grammus"
"6826","Leptothorax","Leptothorax pardoi"
"6827","Monomorium","Monomorium geminum"
"6828","Temnothorax","Temnothorax nuwuvi"
"6829","Crematogaster","Crematogaster africana"
"6830","Zatania",""
"6831","Camponotus","Camponotus libanicus"
"6832","Sericomyrmex","Sericomyrmex bondari"
"6833","Myrmecocystus","Myrmecocystus placodops"
"6834","Myrmelachista","Myrmelachista elata"
"6835","Strumigenys","Strumigenys lewisi"
"6836","Proceratium","Proceratium pergandei"
